component_id,module,component_path,status,type,has_router,has_service,has_models,persistence,auth_surface,import_refs,migration_priority,owner
app.agent_management,agent_management,backend/app/modules/agent_management,active,app-module,true,true,true,db-backed,guarded,1,low,unassigned
app.aro,aro,backend/app/modules/aro,standby,app-module,true,true,false,partial,guarded,22,medium,unassigned
app.audit_logging,audit_logging,backend/app/modules/audit_logging,active,app-module,true,true,true,db-backed,guarded,3,low,unassigned
app.autonomous_pipeline,autonomous_pipeline,backend/app/modules/autonomous_pipeline,standby,app-module,true,false,false,none,guarded,73,medium,unassigned
app.axe_fusion,axe_fusion,backend/app/modules/axe_fusion,active,app-module,true,true,false,partial,guarded,1,medium,unassigned
app.axe_governance,axe_governance,backend/app/modules/axe_governance,library,app-module,false,false,false,none,n/a,5,low,unassigned
app.axe_identity,axe_identity,backend/app/modules/axe_identity,active,app-module,true,true,true,db-backed,guarded,2,low,unassigned
app.axe_knowledge,axe_knowledge,backend/app/modules/axe_knowledge,active,app-module,true,true,true,db-backed,guarded,4,low,unassigned
app.axe_widget,axe_widget,backend/app/modules/axe_widget,active,app-module,true,true,false,partial,guarded,1,medium,unassigned
app.business_factory,business_factory,backend/app/modules/business_factory,library,app-module,false,false,false,none,n/a,15,low,unassigned
app.cluster_system,cluster_system,backend/app/modules/cluster_system,active,app-module,true,true,true,db-backed,guarded,11,low,unassigned
app.config_management,config_management,backend/app/modules/config_management,active,app-module,true,true,true,db-backed,guarded,1,low,unassigned
app.connectors,connectors,backend/app/modules/connectors,standby,app-module,true,true,false,partial,guarded,44,medium,unassigned
app.coordination,coordination,backend/app/modules/coordination,standby,app-module,true,true,false,partial,guarded,6,medium,unassigned
app.course_distribution,course_distribution,backend/app/modules/course_distribution,active,app-module,false,false,false,none,n/a,4,medium,unassigned
app.course_factory,course_factory,backend/app/modules/course_factory,active,app-module,true,true,false,partial,guarded,44,medium,unassigned
app.credits,credits,backend/app/modules/credits,active,app-module,true,true,false,partial,guarded,72,medium,unassigned
app.deployment,deployment,backend/app/modules/deployment,library,app-module,false,true,false,partial,n/a,1,low,unassigned
app.dmz_control,dmz_control,backend/app/modules/dmz_control,active,app-module,true,true,false,partial,unknown,8,medium,unassigned
app.dna,dna,backend/app/modules/dna,active,app-module,true,false,false,none,guarded,14,medium,unassigned
app.dns_hetzner,dns_hetzner,backend/app/modules/dns_hetzner,standby,app-module,true,true,false,partial,guarded,22,medium,unassigned
app.factory,factory,backend/app/modules/factory,standby,app-module,true,false,false,none,guarded,7,medium,unassigned
app.factory_executor,factory_executor,backend/app/modules/factory_executor,library,app-module,false,false,false,none,n/a,7,low,unassigned
